name,date,measure,trump_position,vote,agreement_likelihood,plus_minus
Susan M. Collins,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.872,0.128
Susan M. Collins,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.303,0.6970000000000001
Susan M. Collins,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.29,0.71
Susan M. Collins,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.34299999999999997,0.657
Susan M. Collins,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.303,0.6970000000000001
Susan M. Collins,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.29100000000000004,0.7090000000000001
Susan M. Collins,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.47700000000000004,0.523
Susan M. Collins,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.348,0.652
Susan M. Collins,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.644,0.35600000000000004
Susan M. Collins,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.68,0.32
Susan M. Collins,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,No,0.237,-0.237
Susan M. Collins,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.295,0.705
